conversation_id,transcript,rule_id,rule_type,speaker,evaluation_type,n_messages,description,ground_truth
conv_003,"[{""msg"": ""Hello, ShopDirect customer care. My name is Maria. How can I help?"", ""messageId"": 1, ""speaker"": ""agent"", ""timestamp"": 1700020000}, {""msg"": ""I received the wrong item. I ordered blue trainers and got red ones."", ""messageId"": 2, ""speaker"": ""customer"", ""timestamp"": 1700020030}, {""msg"": ""Oh, I apologise for that mix-up! Can I get your order number please?"", ""messageId"": 3, ""speaker"": ""agent"", ""timestamp"": 1700020060}, {""msg"": ""It's TKT-22913."", ""messageId"": 4, ""speaker"": ""customer"", ""timestamp"": 1700020090}, {""msg"": ""Got it — TKT-22913. I can see the correct blue trainers should have been dispatched. I'll arrange a free return label and re-send the right pair immediately."", ""messageId"": 5, ""speaker"": ""agent"", ""timestamp"": 1700020120}, {""msg"": ""Great, thank you so much."", ""messageId"": 6, ""speaker"": ""customer"", ""timestamp"": 1700020150}, {""msg"": ""You're very welcome! Have a great day."", ""messageId"": 7, ""speaker"": ""agent"", ""timestamp"": 1700020180}]",rule_answer_2,answer,agent,entire,0,The agent confirmed the customer's details,Yes
conv_003,"[{""msg"": ""Hello, ShopDirect customer care. My name is Maria. How can I help?"", ""messageId"": 1, ""speaker"": ""agent"", ""timestamp"": 1700020000}, {""msg"": ""I received the wrong item. I ordered blue trainers and got red ones."", ""messageId"": 2, ""speaker"": ""customer"", ""timestamp"": 1700020030}, {""msg"": ""Oh, I apologise for that mix-up! Can I get your order number please?"", ""messageId"": 3, ""speaker"": ""agent"", ""timestamp"": 1700020060}, {""msg"": ""It's TKT-22913."", ""messageId"": 4, ""speaker"": ""customer"", ""timestamp"": 1700020090}, {""msg"": ""Got it — TKT-22913. I can see the correct blue trainers should have been dispatched. I'll arrange a free return label and re-send the right pair immediately."", ""messageId"": 5, ""speaker"": ""agent"", ""timestamp"": 1700020120}, {""msg"": ""Great, thank you so much."", ""messageId"": 6, ""speaker"": ""customer"", ""timestamp"": 1700020150}, {""msg"": ""You're very welcome! Have a great day."", ""messageId"": 7, ""speaker"": ""agent"", ""timestamp"": 1700020180}]",rule_answer_3,answer,agent,last,2,The call was wrapped up properly,No
conv_004,"[{""msg"": ""Thank you for calling ShopDirect. How can I help you today?"", ""messageId"": 1, ""speaker"": ""agent"", ""timestamp"": 1700030000}, {""msg"": ""My package shows as delivered but it wasn't at my door. Order number is ORD-99341."", ""messageId"": 2, ""speaker"": ""customer"", ""timestamp"": 1700030030}, {""msg"": ""I'm sorry to hear that. Let me check ORD-99341 right away."", ""messageId"": 3, ""speaker"": ""agent"", ""timestamp"": 1700030060}, {""msg"": ""The courier marked it as left in a safe location. Did you check with a neighbour or in a porch?"", ""messageId"": 4, ""speaker"": ""agent"", ""timestamp"": 1700030090}, {""msg"": ""Yes I checked everywhere. It's not there."", ""messageId"": 5, ""speaker"": ""customer"", ""timestamp"": 1700030120}, {""msg"": ""In that case I'll file a non-delivery claim and send a replacement or issue a full refund — whichever you prefer. Is there anything else I can help you with today?"", ""messageId"": 6, ""speaker"": ""agent"", ""timestamp"": 1700030150}, {""msg"": ""A replacement please. That's all I need."", ""messageId"": 7, ""speaker"": ""customer"", ""timestamp"": 1700030180}]",rule_answer_1,answer,agent,first,2,The agent greeted the customer warmly,No
conv_004,"[{""msg"": ""Thank you for calling ShopDirect. How can I help you today?"", ""messageId"": 1, ""speaker"": ""agent"", ""timestamp"": 1700030000}, {""msg"": ""My package shows as delivered but it wasn't at my door. Order number is ORD-99341."", ""messageId"": 2, ""speaker"": ""customer"", ""timestamp"": 1700030030}, {""msg"": ""I'm sorry to hear that. Let me check ORD-99341 right away."", ""messageId"": 3, ""speaker"": ""agent"", ""timestamp"": 1700030060}, {""msg"": ""The courier marked it as left in a safe location. Did you check with a neighbour or in a porch?"", ""messageId"": 4, ""speaker"": ""agent"", ""timestamp"": 1700030090}, {""msg"": ""Yes I checked everywhere. It's not there."", ""messageId"": 5, ""speaker"": ""customer"", ""timestamp"": 1700030120}, {""msg"": ""In that case I'll file a non-delivery claim and send a replacement or issue a full refund — whichever you prefer. Is there anything else I can help you with today?"", ""messageId"": 6, ""speaker"": ""agent"", ""timestamp"": 1700030150}, {""msg"": ""A replacement please. That's all I need."", ""messageId"": 7, ""speaker"": ""customer"", ""timestamp"": 1700030180}]",rule_trigger_2,trigger,customer,entire,0,The customer had a specific request,Yes
conv_004,"[{""msg"": ""Thank you for calling ShopDirect. How can I help you today?"", ""messageId"": 1, ""speaker"": ""agent"", ""timestamp"": 1700030000}, {""msg"": ""My package shows as delivered but it wasn't at my door. Order number is ORD-99341."", ""messageId"": 2, ""speaker"": ""customer"", ""timestamp"": 1700030030}, {""msg"": ""I'm sorry to hear that. Let me check ORD-99341 right away."", ""messageId"": 3, ""speaker"": ""agent"", ""timestamp"": 1700030060}, {""msg"": ""The courier marked it as left in a safe location. Did you check with a neighbour or in a porch?"", ""messageId"": 4, ""speaker"": ""agent"", ""timestamp"": 1700030090}, {""msg"": ""Yes I checked everywhere. It's not there."", ""messageId"": 5, ""speaker"": ""customer"", ""timestamp"": 1700030120}, {""msg"": ""In that case I'll file a non-delivery claim and send a replacement or issue a full refund — whichever you prefer. Is there anything else I can help you with today?"", ""messageId"": 6, ""speaker"": ""agent"", ""timestamp"": 1700030150}, {""msg"": ""A replacement please. That's all I need."", ""messageId"": 7, ""speaker"": ""customer"", ""timestamp"": 1700030180}]",rule_answer_2,answer,agent,entire,0,The agent confirmed the customer's details,Yes
conv_004,"[{""msg"": ""Thank you for calling ShopDirect. How can I help you today?"", ""messageId"": 1, ""speaker"": ""agent"", ""timestamp"": 1700030000}, {""msg"": ""My package shows as delivered but it wasn't at my door. Order number is ORD-99341."", ""messageId"": 2, ""speaker"": ""customer"", ""timestamp"": 1700030030}, {""msg"": ""I'm sorry to hear that. Let me check ORD-99341 right away."", ""messageId"": 3, ""speaker"": ""agent"", ""timestamp"": 1700030060}, {""msg"": ""The courier marked it as left in a safe location. Did you check with a neighbour or in a porch?"", ""messageId"": 4, ""speaker"": ""agent"", ""timestamp"": 1700030090}, {""msg"": ""Yes I checked everywhere. It's not there."", ""messageId"": 5, ""speaker"": ""customer"", ""timestamp"": 1700030120}, {""msg"": ""In that case I'll file a non-delivery claim and send a replacement or issue a full refund — whichever you prefer. Is there anything else I can help you with today?"", ""messageId"": 6, ""speaker"": ""agent"", ""timestamp"": 1700030150}, {""msg"": ""A replacement please. That's all I need."", ""messageId"": 7, ""speaker"": ""customer"", ""timestamp"": 1700030180}]",rule_answer_3,answer,agent,last,2,The call was wrapped up properly,Yes
conv_005,"[{""msg"": ""ShopDirect support, how may I assist you?"", ""messageId"": 1, ""speaker"": ""agent"", ""timestamp"": 1700040000}, {""msg"": ""I was charged twice for my order. My reference is REF-11562."", ""messageId"": 2, ""speaker"": ""customer"", ""timestamp"": 1700040030}, {""msg"": ""Let me look into that for you. I can see a duplicate charge on your account — I'll process a full refund for the second payment immediately."", ""messageId"": 3, ""speaker"": ""agent"", ""timestamp"": 1700040060}, {""msg"": ""How long will the refund take?"", ""messageId"": 4, ""speaker"": ""customer"", ""timestamp"": 1700040090}, {""msg"": ""It should appear within 5-7 business days depending on your bank. Is there anything else I can help you with today?"", ""messageId"": 5, ""speaker"": ""agent"", ""timestamp"": 1700040120}, {""msg"": ""No, that's great. Thank you."", ""messageId"": 6, ""speaker"": ""customer"", ""timestamp"": 1700040150}]",rule_answer_1,answer,agent,first,2,The agent greeted the customer warmly,No
conv_005,"[{""msg"": ""ShopDirect support, how may I assist you?"", ""messageId"": 1, ""speaker"": ""agent"", ""timestamp"": 1700040000}, {""msg"": ""I was charged twice for my order. My reference is REF-11562."", ""messageId"": 2, ""speaker"": ""customer"", ""timestamp"": 1700040030}, {""msg"": ""Let me look into that for you. I can see a duplicate charge on your account — I'll process a full refund for the second payment immediately."", ""messageId"": 3, ""speaker"": ""agent"", ""timestamp"": 1700040060}, {""msg"": ""How long will the refund take?"", ""messageId"": 4, ""speaker"": ""customer"", ""timestamp"": 1700040090}, {""msg"": ""It should appear within 5-7 business days depending on your bank. Is there anything else I can help you with today?"", ""messageId"": 5, ""speaker"": ""agent"", ""timestamp"": 1700040120}, {""msg"": ""No, that's great. Thank you."", ""messageId"": 6, ""speaker"": ""customer"", ""timestamp"": 1700040150}]",rule_trigger_2,trigger,customer,entire,0,The customer had a specific request,Yes
conv_005,"[{""msg"": ""ShopDirect support, how may I assist you?"", ""messageId"": 1, ""speaker"": ""agent"", ""timestamp"": 1700040000}, {""msg"": ""I was charged twice for my order. My reference is REF-11562."", ""messageId"": 2, ""speaker"": ""customer"", ""timestamp"": 1700040030}, {""msg"": ""Let me look into that for you. I can see a duplicate charge on your account — I'll process a full refund for the second payment immediately."", ""messageId"": 3, ""speaker"": ""agent"", ""timestamp"": 1700040060}, {""msg"": ""How long will the refund take?"", ""messageId"": 4, ""speaker"": ""customer"", ""timestamp"": 1700040090}, {""msg"": ""It should appear within 5-7 business days depending on your bank. Is there anything else I can help you with today?"", ""messageId"": 5, ""speaker"": ""agent"", ""timestamp"": 1700040120}, {""msg"": ""No, that's great. Thank you."", ""messageId"": 6, ""speaker"": ""customer"", ""timestamp"": 1700040150}]",rule_answer_2,answer,agent,entire,0,The agent confirmed the customer's details,No
conv_005,"[{""msg"": ""ShopDirect support, how may I assist you?"", ""messageId"": 1, ""speaker"": ""agent"", ""timestamp"": 1700040000}, {""msg"": ""I was charged twice for my order. My reference is REF-11562."", ""messageId"": 2, ""speaker"": ""customer"", ""timestamp"": 1700040030}, {""msg"": ""Let me look into that for you. I can see a duplicate charge on your account — I'll process a full refund for the second payment immediately."", ""messageId"": 3, ""speaker"": ""agent"", ""timestamp"": 1700040060}, {""msg"": ""How long will the refund take?"", ""messageId"": 4, ""speaker"": ""customer"", ""timestamp"": 1700040090}, {""msg"": ""It should appear within 5-7 business days depending on your bank. Is there anything else I can help you with today?"", ""messageId"": 5, ""speaker"": ""agent"", ""timestamp"": 1700040120}, {""msg"": ""No, that's great. Thank you."", ""messageId"": 6, ""speaker"": ""customer"", ""timestamp"": 1700040150}]",rule_answer_3,answer,agent,last,2,The call was wrapped up properly,Yes
conv_006,"[{""msg"": ""Good afternoon, ShopDirect. My name is David. How can I help?"", ""messageId"": 1, ""speaker"": ""agent"", ""timestamp"": 1700050000}, {""msg"": ""Hi, I want to return something I bought last month. Is that still within the return window?"", ""messageId"": 2, ""speaker"": ""customer"", ""timestamp"": 1700050030}, {""msg"": ""Our standard return window is 30 days from delivery. Could you let me know the delivery date?"", ""messageId"": 3, ""speaker"": ""agent"", ""timestamp"": 1700050060}, {""msg"": ""It arrived on the 5th, so about 28 days ago."", ""messageId"": 4, ""speaker"": ""customer"", ""timestamp"": 1700050090}, {""msg"": ""Great news — you're still within the 30-day window. I'll send you a prepaid return label to your email address now."", ""messageId"": 5, ""speaker"": ""agent"", ""timestamp"": 1700050120}, {""msg"": ""Perfect, thank you."", ""messageId"": 6, ""speaker"": ""customer"", ""timestamp"": 1700050150}, {""msg"": ""Of course! Is there anything else I can help you with today?"", ""messageId"": 7, ""speaker"": ""agent"", ""timestamp"": 1700050180}, {""msg"": ""No, that's all."", ""messageId"": 8, ""speaker"": ""customer"", ""timestamp"": 1700050210}]",rule_answer_1,answer,agent,first,2,The agent greeted the customer warmly,Yes
conv_006,"[{""msg"": ""Good afternoon, ShopDirect. My name is David. How can I help?"", ""messageId"": 1, ""speaker"": ""agent"", ""timestamp"": 1700050000}, {""msg"": ""Hi, I want to return something I bought last month. Is that still within the return window?"", ""messageId"": 2, ""speaker"": ""customer"", ""timestamp"": 1700050030}, {""msg"": ""Our standard return window is 30 days from delivery. Could you let me know the delivery date?"", ""messageId"": 3, ""speaker"": ""agent"", ""timestamp"": 1700050060}, {""msg"": ""It arrived on the 5th, so about 28 days ago."", ""messageId"": 4, ""speaker"": ""customer"", ""timestamp"": 1700050090}, {""msg"": ""Great news — you're still within the 30-day window. I'll send you a prepaid return label to your email address now."", ""messageId"": 5, ""speaker"": ""agent"", ""timestamp"": 1700050120}, {""msg"": ""Perfect, thank you."", ""messageId"": 6, ""speaker"": ""customer"", ""timestamp"": 1700050150}, {""msg"": ""Of course! Is there anything else I can help you with today?"", ""messageId"": 7, ""speaker"": ""agent"", ""timestamp"": 1700050180}, {""msg"": ""No, that's all."", ""messageId"": 8, ""speaker"": ""customer"", ""timestamp"": 1700050210}]",rule_trigger_2,trigger,customer,entire,0,The customer had a specific request,No
conv_006,"[{""msg"": ""Good afternoon, ShopDirect. My name is David. How can I help?"", ""messageId"": 1, ""speaker"": ""agent"", ""timestamp"": 1700050000}, {""msg"": ""Hi, I want to return something I bought last month. Is that still within the return window?"", ""messageId"": 2, ""speaker"": ""customer"", ""timestamp"": 1700050030}, {""msg"": ""Our standard return window is 30 days from delivery. Could you let me know the delivery date?"", ""messageId"": 3, ""speaker"": ""agent"", ""timestamp"": 1700050060}, {""msg"": ""It arrived on the 5th, so about 28 days ago."", ""messageId"": 4, ""speaker"": ""customer"", ""timestamp"": 1700050090}, {""msg"": ""Great news — you're still within the 30-day window. I'll send you a prepaid return label to your email address now."", ""messageId"": 5, ""speaker"": ""agent"", ""timestamp"": 1700050120}, {""msg"": ""Perfect, thank you."", ""messageId"": 6, ""speaker"": ""customer"", ""timestamp"": 1700050150}, {""msg"": ""Of course! Is there anything else I can help you with today?"", ""messageId"": 7, ""speaker"": ""agent"", ""timestamp"": 1700050180}, {""msg"": ""No, that's all."", ""messageId"": 8, ""speaker"": ""customer"", ""timestamp"": 1700050210}]",rule_answer_2,answer,agent,entire,0,The agent confirmed the customer's details,NA
conv_006,"[{""msg"": ""Good afternoon, ShopDirect. My name is David. How can I help?"", ""messageId"": 1, ""speaker"": ""agent"", ""timestamp"": 1700050000}, {""msg"": ""Hi, I want to return something I bought last month. Is that still within the return window?"", ""messageId"": 2, ""speaker"": ""customer"", ""timestamp"": 1700050030}, {""msg"": ""Our standard return window is 30 days from delivery. Could you let me know the delivery date?"", ""messageId"": 3, ""speaker"": ""agent"", ""timestamp"": 1700050060}, {""msg"": ""It arrived on the 5th, so about 28 days ago."", ""messageId"": 4, ""speaker"": ""customer"", ""timestamp"": 1700050090}, {""msg"": ""Great news — you're still within the 30-day window. I'll send you a prepaid return label to your email address now."", ""messageId"": 5, ""speaker"": ""agent"", ""timestamp"": 1700050120}, {""msg"": ""Perfect, thank you."", ""messageId"": 6, ""speaker"": ""customer"", ""timestamp"": 1700050150}, {""msg"": ""Of course! Is there anything else I can help you with today?"", ""messageId"": 7, ""speaker"": ""agent"", ""timestamp"": 1700050180}, {""msg"": ""No, that's all."", ""messageId"": 8, ""speaker"": ""customer"", ""timestamp"": 1700050210}]",rule_answer_3,answer,agent,last,2,The call was wrapped up properly,Yes
